sceGxmSetViewport	psp2/gxm.h	SceGxm
sceGxmSetWClampValue	psp2/gxm.h	SceGxm
sceGxmDepthStencilSurfaceSetBackgroundDepth	psp2/gxm.h	SceGxm
sceGxmDepthStencilSurfaceGetBackgroundDepth	psp2/gxm.h	SceGxm
sceMotionSetAngleThreshold	psp2/motion.h	SceMotion
sceMotionGetAngleThreshold	psp2/motion.h	SceMotion
sceMotionRotateYaw	psp2/motion.h	SceMotion
scePafGraphicsUpdateCurrentWave	psp2/paf/graphics.h	ScePaf
sce_paf_strtod	psp2/paf/stdc.h	ScePaf
sceFontSetResolution	psp2/pgf.h	ScePgf
sceFontPixelToPointH	psp2/pgf.h	ScePgf
sceFontPixelToPointV	psp2/pgf.h	ScePgf
sceFontPointToPixelH	psp2/pgf.h	ScePgf
sceFontPointToPixelV	psp2/pgf.h	ScePgf
scePvfSetCharSize	psp2/pvf.h	ScePvf
scePvfSetEM	psp2/pvf.h	ScePvf
scePvfSetEmboldenRate	psp2/pvf.h	ScePvf
scePvfSetResolution	psp2/pvf.h	ScePvf
scePvfSetSkewValue	psp2/pvf.h	ScePvf
scePvfPixelToPointH	psp2/pvf.h	ScePvf
scePvfPixelToPointV	psp2/pvf.h	ScePvf
scePvfPointToPixelH	psp2/pvf.h	ScePvf
scePvfPointToPixelV	psp2/pvf.h	ScePvf
